
===== Phase 2 start 2026-06-17 04:14:16 =====
[S3b] 1500/3764  rate=4.59s/struct  ETA=2.89hr
[S3b] 1600/3764  rate=4.61s/struct  ETA=2.77hr
[S3b] 1700/3764  rate=4.60s/struct  ETA=2.64hr
[S3b] 1800/3764  rate=4.60s/struct  ETA=2.51hr
[S3b] 1900/3764  rate=4.60s/struct  ETA=2.38hr
[S3b] 2000/3764  rate=4.61s/struct  ETA=2.26hr
[S3b] 2100/3764  rate=4.60s/struct  ETA=2.13hr
[S3b] 2200/3764  rate=4.61s/struct  ETA=2.00hr
[S3b] 2300/3764  rate=4.60s/struct  ETA=1.87hr
[S3b] 2400/3764  rate=4.62s/struct  ETA=1.75hr
[S3b] 2500/3764  rate=4.61s/struct  ETA=1.62hr
[S3b] 2600/3764  rate=4.61s/struct  ETA=1.49hr
[S3b] 2700/3764  rate=4.61s/struct  ETA=1.36hr
[S3b] 2800/3764  rate=4.62s/struct  ETA=1.24hr
[S3b] 2900/3764  rate=4.62s/struct  ETA=1.11hr
[S3b] 3000/3764  rate=4.61s/struct  ETA=0.98hr
[S3b] 3100/3764  rate=4.62s/struct  ETA=0.85hr
[S3b] 3200/3764  rate=4.62s/struct  ETA=0.72hr
[S3b] 3300/3764  rate=4.62s/struct  ETA=0.59hr
[S3b] 3400/3764  rate=4.61s/struct  ETA=0.47hr
[S3b] 3500/3764  rate=4.63s/struct  ETA=0.34hr
[S3b] 3600/3764  rate=4.63s/struct  ETA=0.21hr
[S3b] 3700/3764  rate=4.63s/struct  ETA=0.08hr
[S4] 1/7975  rate=23.62s/struct  ETA=52.31hr
[S4] 100/7975  rate=10.44s/struct  ETA=22.83hr
[S4] 200/7975  rate=11.42s/struct  ETA=24.67hr
[S4] 300/7975  rate=12.71s/struct  ETA=27.09hr
[S4] 400/7975  rate=13.71s/struct  ETA=28.85hr
[S4] 500/7975  rate=14.07s/struct  ETA=29.22hr
[S4] 600/7975  rate=14.48s/struct  ETA=29.66hr
[S4] 700/7975  rate=13.95s/struct  ETA=28.19hr
[S4] 800/7975  rate=13.49s/struct  ETA=26.89hr
[S4] 900/7975  rate=13.16s/struct  ETA=25.87hr
[S4] 1000/7975  rate=13.09s/struct  ETA=25.35hr
[S4] 1100/7975  rate=12.82s/struct  ETA=24.48hr
[S4] 1200/7975  rate=12.60s/struct  ETA=23.71hr
[S4] 1300/7975  rate=12.38s/struct  ETA=22.96hr
[S4] 1400/7975  rate=12.40s/struct  ETA=22.65hr
[S4] 1500/7975  rate=12.21s/struct  ETA=21.96hr
[S4] 1600/7975  rate=12.06s/struct  ETA=21.36hr
[S4] 1700/7975  rate=11.93s/struct  ETA=20.79hr
[S4] 1800/7975  rate=11.93s/struct  ETA=20.46hr
[S4] 1900/7975  rate=12.15s/struct  ETA=20.51hr
[S4] 2000/7975  rate=12.33s/struct  ETA=20.46hr
[S4] 2100/7975  rate=12.53s/struct  ETA=20.44hr
[S4] 2200/7975  rate=12.59s/struct  ETA=20.20hr
[S4] 2300/7975  rate=12.48s/struct  ETA=19.68hr
[S4] 2400/7975  rate=12.47s/struct  ETA=19.31hr
[S4] 2500/7975  rate=12.45s/struct  ETA=18.94hr
[S4] 2600/7975  rate=12.33s/struct  ETA=18.41hr
[S4] 2700/7975  rate=12.27s/struct  ETA=17.99hr
[S4] 2800/7975  rate=12.33s/struct  ETA=17.72hr
[S4] 2900/7975  rate=12.47s/struct  ETA=17.58hr
[S4] 3000/7975  rate=12.61s/struct  ETA=17.42hr
[S4] 3100/7975  rate=12.70s/struct  ETA=17.20hr
[S4] 3200/7975  rate=12.77s/struct  ETA=16.94hr
[S4] 3300/7975  rate=12.69s/struct  ETA=16.48hr
[S4] 3400/7975  rate=12.60s/struct  ETA=16.02hr
[S4] 3500/7975  rate=12.55s/struct  ETA=15.60hr
[S4] 3600/7975  rate=12.52s/struct  ETA=15.21hr
[S4] 3700/7975  rate=12.42s/struct  ETA=14.75hr
[S4] 3800/7975  rate=12.37s/struct  ETA=14.35hr
[S4] 3900/7975  rate=12.31s/struct  ETA=13.94hr
[S4] 4000/7975  rate=12.29s/struct  ETA=13.57hr
[S4] 4100/7975  rate=12.23s/struct  ETA=13.17hr
[S4] 4200/7975  rate=12.19s/struct  ETA=12.78hr
[S4] 4300/7975  rate=12.15s/struct  ETA=12.41hr
[S4] 4400/7975  rate=12.20s/struct  ETA=12.11hr
[S4] 4500/7975  rate=12.29s/struct  ETA=11.86hr
[S4] 4600/7975  rate=12.37s/struct  ETA=11.59hr
[S4] 4700/7975  rate=12.43s/struct  ETA=11.31hr
[S4] 4800/7975  rate=12.45s/struct  ETA=10.98hr
[S4] 4900/7975  rate=12.39s/struct  ETA=10.58hr
[S4] 5000/7975  rate=12.38s/struct  ETA=10.23hr
[S4] 5100/7975  rate=12.38s/struct  ETA=9.88hr
[S4] 5200/7975  rate=12.32s/struct  ETA=9.50hr
[S4] 5300/7975  rate=12.28s/struct  ETA=9.12hr
[S4] 5400/7975  rate=12.31s/struct  ETA=8.80hr
[S4] 5500/7975  rate=12.38s/struct  ETA=8.51hr
[S4] 5600/7975  rate=12.45s/struct  ETA=8.21hr
[S4] 5700/7975  rate=12.50s/struct  ETA=7.90hr
[S4] 5800/7975  rate=12.57s/struct  ETA=7.59hr
[S4] 5900/7975  rate=12.55s/struct  ETA=7.23hr
[S4] 6000/7975  rate=12.52s/struct  ETA=6.87hr
[S4] 6100/7975  rate=12.50s/struct  ETA=6.51hr
[S4] 6200/7975  rate=12.46s/struct  ETA=6.15hr
[S4] 6300/7975  rate=12.42s/struct  ETA=5.78hr
[S4] 6400/7975  rate=12.37s/struct  ETA=5.41hr
[S4] 6500/7975  rate=12.34s/struct  ETA=5.06hr
[S4] 6600/7975  rate=12.31s/struct  ETA=4.70hr
[S4] 6700/7975  rate=12.28s/struct  ETA=4.35hr
[S4] 6800/7975  rate=12.25s/struct  ETA=4.00hr
[S4] 6900/7975  rate=12.20s/struct  ETA=3.64hr
[S4] 7000/7975  rate=12.25s/struct  ETA=3.32hr
[S4] 7100/7975  rate=12.29s/struct  ETA=2.99hr
[S4] 7200/7975  rate=12.33s/struct  ETA=2.65hr
[S4] 7300/7975  rate=12.38s/struct  ETA=2.32hr
[S4] 7400/7975  rate=12.38s/struct  ETA=1.98hr
[S4] 7500/7975  rate=12.35s/struct  ETA=1.63hr
[S4] 7600/7975  rate=12.35s/struct  ETA=1.29hr
[S4] 7700/7975  rate=12.32s/struct  ETA=0.94hr
[S4] 7800/7975  rate=12.31s/struct  ETA=0.60hr
[S4] 7900/7975  rate=12.28s/struct  ETA=0.26hr
