sid,ads,idx,origin,priority,E_MLIP_eV,E_bind_MLIP_eV,DFT_status,E_DFT_sigma0_eV,E_bind_DFT_eV,F_max_free_eV_per_A,reached_accuracy,contcar_path
S3,CH3O,117,v4-existing,v4-baseline,-698.6265637435819,-1.2169,RUNNING_OR_UNCONVERGED,-716.9294,,0.0943,False,calculations/T1_16_DFT_L2/S3/CH3O/02_CH3O_idx00117/CONTCAR
S3,CH3O,164,v4-existing,v4-baseline,-698.6259081624904,-1.2163,RUNNING_OR_UNCONVERGED,-716.9529,,0.6753,False,calculations/T1_16_DFT_L2/S3/CH3O/03_CH3O_idx00164/CONTCAR
S3,CH3O,143,v4-existing,v4-baseline,-698.6243842560048,-1.2147,PENDING,,,,,
S3b,CO,56,v4-existing,v4-baseline,-547.6289553105206,-2.2383,PENDING,,,,,
S3b,CO,41,v4-existing,v4-baseline,-547.5964967927302,-2.2058,PENDING,,,,,
S3b,CO,19,v4-existing,v4-baseline,-547.5882544430696,-2.1976,PENDING,,,,,
S3b,CO,38,v4-existing,v4-baseline,-547.5008226343624,-2.1101,PENDING,,,,,
S3b,CO,79,v4-existing,v4-baseline,-547.5004901497957,-2.1098,PENDING,,,,,
S3b,CH3O,198,v4-existing,v4-baseline,-558.1287233468558,-2.947,PENDING,,,,,
S3b,CH3O,16,v4-existing,v4-baseline,-558.1244100003859,-2.9427,PENDING,,,,,
S3b,CH3O,108,v4-existing,v4-baseline,-558.123295401935,-2.9416,PENDING,,,,,
S3b,CH3O,260,v4-existing,v4-baseline,-558.1213241482855,-2.9396,PENDING,,,,,
S3b,CH3O,8,v4-existing,v4-baseline,-558.1207769233309,-2.9391,PENDING,,,,,
S4,CO,80,v4-existing,v4-baseline,-756.5792241790562,-3.3077,PENDING,,,,,
S4,CO,76,v4-existing,v4-baseline,-756.5642120777284,-3.2927,PENDING,,,,,
S4,CO,61,v4-existing,v4-baseline,-756.5259441430527,-3.2544,PENDING,,,,,
S4,CO,86,v4-existing,v4-baseline,-754.0571118762834,-0.7856,PENDING,,,,,
S4,CO,55,v4-existing,v4-baseline,-754.0571118762833,-0.7856,PENDING,,,,,
S4,CH3O,369,v4-existing,v4-baseline,-767.2576626359828,-4.1951,PENDING,,,,,
S4,CH3O,260,v4-existing,v4-baseline,-767.2575389996656,-4.195,PENDING,,,,,
S4,CH3O,241,v4-existing,v4-baseline,-767.2572873010396,-4.1947,PENDING,,,,,
S4,CH3O,211,v4-existing,v4-baseline,-767.2528421265519,-4.1903,PENDING,,,,,
S4,CH3O,240,v4-existing,v4-baseline,-767.251775758758,-4.1892,PENDING,,,,,
S1,coads,767,v4-existing,v4-baseline,-432.0511505530256,-3.9753,PENDING,,,,,
S1,coads,5495,v4-existing,v4-baseline,-432.0494867446825,-3.9737,PENDING,,,,,
S1,coads,3785,v4-existing,v4-baseline,-432.0490805265768,-3.9733,PENDING,,,,,
S1,coads,4132,v4-existing,v4-baseline,-432.04894849177344,-3.9731,PENDING,,,,,
S1,coads,76,v4-existing,v4-baseline,-432.04894327985227,-3.9731,PENDING,,,,,
S2,coads,989,v4-existing,v4-baseline,-601.2282614944418,-2.7621,PENDING,,,,,
S2,coads,3165,v4-existing,v4-baseline,-601.2266130207496,-2.7604,PENDING,,,,,
S2,coads,8300,v4-existing,v4-baseline,-601.2249174653148,-2.7587,PENDING,,,,,
S2,coads,8447,v4-existing,v4-baseline,-601.2242882392882,-2.7581,PENDING,,,,,
S2,coads,471,v4-existing,v4-baseline,-601.2013775668686,-2.7352,PENDING,,,,,
S3b,coads,2151,v4-existing,v4-baseline,-574.750591262553,-5.205,PENDING,,,,,
S3b,coads,2461,v4-existing,v4-baseline,-574.75014496893,-5.2046,PENDING,,,,,
S3b,coads,3309,v4-existing,v4-baseline,-574.7495023168665,-5.2039,PENDING,,,,,
S3b,coads,142,v4-existing,v4-baseline,-574.7484982303976,-5.2029,PENDING,,,,,
S3b,coads,1220,v4-existing,v4-baseline,-574.7479814346082,-5.2024,PENDING,,,,,
S3,coads,2408,v4-existing,v4-baseline,-713.3245637559503,-1.551,PENDING,,,,,
S3,coads,1045,v4-existing,v4-baseline,-713.3242107807788,-1.5507,PENDING,,,,,
S3,coads,3382,v4-existing,v4-baseline,-713.3239072728007,-1.5504,PENDING,,,,,
S3,coads,6637,v4-existing,v4-baseline,-713.323718054027,-1.5502,PENDING,,,,,
S3,coads,1353,v4-existing,v4-baseline,-713.3233295031844,-1.5498,PENDING,,,,,
S1,coads,487,v5-new,RECOMMENDED,-432.0193219865356,-3.9435,PENDING,,,,,
S1,coads,4021,v5-new,RECOMMENDED,-432.04048340613787,-3.9647,PENDING,,,,,
S2,coads,3633,v5-new,RECOMMENDED,-600.9993978045983,-2.5332,PENDING,,,,,
S2,coads,8079,v5-new,RECOMMENDED,-600.7868201558618,-2.3206,PENDING,,,,,
S3,coads,3481,v5-new,MUST,-713.283148052988,-1.5096,PENDING,,,,,
S3,coads,5161,v5-new,MUST,-713.3036758500434,-1.5301,PENDING,,,,,
S3b,coads,2051,v5-new,MUST-diagnostic,-574.1964112039822,-4.6508,PENDING,,,,,
S3b,coads,2754,v5-new,MUST,-574.6288789072723,-5.0833,PENDING,,,,,
S1,CO,43,v5-new,OPTIONAL,-405.67261065442545,-1.7517,PENDING,,,,,
S1,CH3O,283,v5-new,OPTIONAL,-415.8710088872099,-2.1591,PENDING,,,,,
S2,CH3O,217,v5-new,OPTIONAL,-585.6139766074084,-1.5116,PENDING,,,,,
S2,CH3O,496,v5-new,OPTIONAL,-585.5793905126623,-1.4771,PENDING,,,,,
S3,CH3O,395,v5-new,OPTIONAL,-698.5978100199566,-1.1882,PENDING,,,,,
S3b,CO,6,v5-new,OPTIONAL,-547.4949653268903,-2.1043,PENDING,,,,,
S4,CH3O,329,v5-new,OPTIONAL,-767.2157296424111,-4.1532,PENDING,,,,,
S4,CH3O,383,v5-new,OPTIONAL,-767.2513597794174,-4.1888,PENDING,,,,,
