sid,ads,idx,E_MACE_D3_eV,E_bind_MACE_D3_eV,dE_rel_meV,converged,n_steps,d_min_ads_sub_A,site_type_raw_MLIP,fingerprint
S4,CH3O,366,-767.009536,-3.947,1766173.7,True,96,2.331,atop,"[1.11, 1.11, 1.24, 1.91, 2.03, 2.05, 2.27, 2.82, 3.14, 3.52]"
S4,CH3O,47,-767.006601,-3.9441,1769109.0,True,104,2.355,atop,"[1.12, 1.12, 1.23, 1.91, 1.96, 2.04, 2.05, 2.68, 2.74, 3.73]"
S4,CH3O,268,-767.005337,-3.9428,1770372.8,True,129,0.99,unknown,"[1.12, 1.12, 1.23, 1.91, 2.02, 2.04, 2.05, 2.93, 3.11, 3.96]"
S4,CH3O,107,-767.00528,-3.9427,1770429.8,True,98,2.351,atop,"[1.11, 1.11, 1.24, 1.91, 2.03, 2.05, 2.24, 2.78, 3.09, 3.51]"
S4,CH3O,253,-766.999482,-3.9369,1776227.9,True,96,2.348,atop,"[1.11, 1.11, 1.23, 1.91, 2.03, 2.05, 2.23, 2.73, 3.03, 3.44]"
S4,CH3O,154,-766.998822,-3.9363,1776887.5,True,141,0.986,unknown,"[1.11, 1.12, 1.22, 1.9, 2.04, 2.04, 2.16, 3.07, 3.28, 4.07]"
S4,CH3O,133,-766.98895,-3.9264,1786759.9,True,80,0.982,unknown,"[1.11, 1.11, 1.23, 1.91, 2.03, 2.05, 2.19, 2.67, 2.92, 3.41]"
S4,CH3O,7,-766.988634,-3.9261,1787075.5,True,84,2.534,atop,"[1.11, 1.11, 1.23, 1.91, 2.03, 2.05, 2.2, 2.67, 2.93, 3.39]"
S4,CH3O,142,-766.979698,-3.9171,1796011.6,True,120,0.985,unknown,"[1.11, 1.11, 1.23, 1.9, 2.04, 2.05, 2.16, 2.91, 3.12, 3.84]"
S4,CH3O,267,-764.890013,-1.8275,1882034.9,True,200,0.981,unknown,"[1.12, 1.12, 1.22, 1.89, 2.05, 2.06, 2.55, 3.22, 3.42, 4.1]"
S4,CH3O,305,-766.891611,-3.8291,1884098.2,True,156,0.98,unknown,"[1.12, 1.13, 1.22, 1.89, 2.05, 2.06, 3.43, 4.12, 4.41, 4.85]"
S4,CH3O,69,-766.888197,-3.8256,1887512.3,True,121,0.981,unknown,"[1.12, 1.12, 1.22, 1.92, 2.04, 2.05, 2.86, 2.95, 3.2, 3.43]"
S4,CH3O,103,-766.881874,-3.8193,1893835.2,True,98,0.982,unknown,"[1.12, 1.13, 1.22, 1.91, 2.04, 2.06, 2.96, 2.96, 3.22, 3.35]"
S4,CH3O,314,-766.881271,-3.8187,1894439.0,True,95,0.98,unknown,"[1.12, 1.13, 1.22, 1.92, 2.04, 2.06, 3.01, 3.09, 3.3, 3.56]"
S4,CH3O,166,-766.878662,-3.8161,1897047.8,True,129,2.565,atop,"[1.12, 1.12, 1.22, 1.9, 2.05, 2.05, 3.07, 3.32, 3.68, 3.78]"
S4,CH3O,191,-766.874386,-3.8118,1901323.9,True,124,0.981,unknown,"[1.12, 1.13, 1.22, 1.91, 2.04, 2.05, 3.05, 3.29, 3.59, 3.8]"
S4,CH3O,198,-766.872871,-3.8103,1902838.4,True,147,0.98,unknown,"[1.12, 1.13, 1.22, 1.9, 2.04, 2.05, 2.81, 3.48, 3.69, 4.35]"
S4,CH3O,316,-766.871681,-3.8091,1904028.9,True,122,0.98,unknown,"[1.12, 1.13, 1.22, 1.91, 2.04, 2.05, 3.08, 3.26, 3.56, 3.72]"
S4,CH3O,324,-766.868288,-3.8057,1907421.8,True,144,0.98,unknown,"[1.12, 1.13, 1.22, 1.91, 2.04, 2.05, 2.81, 3.44, 3.62, 4.31]"
S4,CH3O,51,-766.862812,-3.8003,1912897.8,True,125,0.981,unknown,"[1.12, 1.12, 1.22, 1.91, 2.04, 2.05, 2.97, 3.0, 3.19, 3.46]"
S4,CH3O,306,-766.857973,-3.7954,1917736.6,True,70,0.981,unknown,"[1.13, 1.13, 1.22, 1.92, 2.04, 2.05, 3.02, 3.13, 3.34, 3.63]"
S4,CH3O,48,-766.856713,-3.7942,1918996.1,True,69,0.98,unknown,"[1.13, 1.13, 1.22, 1.92, 2.04, 2.05, 3.02, 3.16, 3.38, 3.66]"
S4,CH3O,180,-766.855225,-3.7927,1920484.0,True,67,0.981,unknown,"[1.13, 1.13, 1.22, 1.92, 2.04, 2.06, 2.98, 3.1, 3.27, 3.63]"
S4,CH3O,178,-766.850314,-3.7878,1925395.2,True,124,0.98,unknown,"[1.12, 1.12, 1.22, 1.91, 2.04, 2.05, 2.94, 3.14, 3.33, 3.73]"
S4,CH3O,192,-766.849175,-3.7866,1926534.1,True,63,0.981,unknown,"[1.13, 1.13, 1.22, 1.92, 2.04, 2.05, 2.95, 3.04, 3.19, 3.58]"
S4,CH3O,174,-766.848302,-3.7858,1927407.2,True,64,0.981,unknown,"[1.13, 1.13, 1.22, 1.92, 2.05, 2.05, 2.94, 3.03, 3.18, 3.57]"
S4,CH3O,194,-766.842897,-3.7803,1932812.8,True,103,0.981,unknown,"[1.12, 1.13, 1.22, 1.91, 2.04, 2.06, 2.82, 3.23, 3.4, 4.53]"
S4,CH3O,176,-766.841754,-3.7792,1933955.8,True,100,0.98,unknown,"[1.12, 1.13, 1.22, 1.91, 2.04, 2.06, 2.83, 3.24, 3.41, 4.53]"
S4,CH3O,179,-766.840226,-3.7777,1935483.4,True,191,0.98,unknown,"[1.12, 1.12, 1.22, 1.9, 2.04, 2.06, 2.58, 2.84, 3.0, 4.06]"
S4,CH3O,321,-766.837445,-3.7749,1938264.2,True,100,0.981,unknown,"[1.12, 1.13, 1.22, 1.91, 2.04, 2.05, 2.7, 2.98, 3.1, 4.1]"
S4,CH3O,54,-766.835484,-3.7729,1940225.1,True,104,2.531,unknown,"[1.12, 1.12, 1.22, 1.9, 2.05, 2.05, 3.05, 3.06, 3.5, 4.71]"
S4,CH3O,50,-766.835194,-3.7726,1940515.1,True,96,2.249,unknown,"[1.12, 1.13, 1.22, 1.91, 2.04, 2.06, 2.72, 3.2, 3.35, 4.49]"
S4,CH3O,304,-766.832596,-3.77,1943113.4,True,131,0.981,unknown,"[1.12, 1.12, 1.22, 1.91, 2.04, 2.05, 3.01, 3.32, 3.4, 4.35]"
S4,CH3O,303,-766.832258,-3.7697,1943451.4,True,103,0.981,unknown,"[1.12, 1.13, 1.22, 1.91, 2.04, 2.06, 2.63, 3.02, 3.23, 4.42]"
S4,CH3O,165,-766.831987,-3.7694,1943722.8,True,114,2.568,atop,"[1.12, 1.12, 1.22, 1.9, 2.04, 2.05, 2.41, 2.98, 3.1, 4.26]"
S4,CH3O,177,-766.827773,-3.7652,1947936.5,True,101,0.981,unknown,"[1.12, 1.13, 1.22, 1.91, 2.04, 2.06, 2.61, 2.97, 3.2, 4.38]"
S4,CH3O,39,-766.824661,-3.7621,1951048.9,True,110,2.625,atop,"[1.12, 1.12, 1.22, 1.91, 2.04, 2.05, 2.43, 2.94, 3.04, 4.16]"
S4,CH3O,143,-766.821421,-3.7589,1954288.4,True,99,0.981,unknown,"[1.12, 1.12, 1.22, 1.9, 2.04, 2.05, 2.99, 3.31, 3.4, 4.34]"
S4,CH3O,318,-766.819569,-3.757,1956140.5,True,111,0.981,unknown,"[1.12, 1.12, 1.22, 1.91, 2.04, 2.04, 2.77, 3.12, 3.36, 4.54]"
S4,CH3O,153,-766.818264,-3.7557,1957446.0,True,171,0.981,unknown,"[1.12, 1.12, 1.22, 1.9, 2.05, 2.05, 2.97, 3.26, 3.48, 3.87]"
S4,CH3O,300,-766.817521,-3.755,1958188.1,True,104,0.981,unknown,"[1.12, 1.12, 1.22, 1.91, 2.04, 2.05, 2.93, 3.01, 3.39, 4.59]"
S4,CH3O,155,-766.816905,-3.7544,1958805.0,True,92,0.981,unknown,"[1.12, 1.12, 1.22, 1.9, 2.04, 2.05, 2.95, 3.27, 3.35, 4.28]"
S4,CH3O,141,-766.816756,-3.7542,1958953.2,True,160,0.98,unknown,"[1.12, 1.12, 1.22, 1.9, 2.05, 2.05, 3.14, 3.18, 3.47, 3.52]"
S4,CH3O,281,-766.814198,-3.7517,1961511.3,True,93,0.981,unknown,"[1.12, 1.12, 1.22, 1.9, 2.04, 2.05, 2.84, 3.22, 3.3, 4.29]"
S4,CH3O,29,-766.808643,-3.7461,1967066.1,True,89,0.981,unknown,"[1.12, 1.13, 1.22, 1.91, 2.04, 2.05, 2.91, 3.22, 3.32, 4.29]"
S4,CH3O,66,-766.807714,-3.7452,1967995.3,True,129,0.98,unknown,"[1.12, 1.12, 1.22, 1.91, 2.04, 2.05, 3.09, 3.25, 3.5, 4.57]"
S4,CH3O,158,-766.807185,-3.7446,1968524.3,True,107,0.98,unknown,"[1.12, 1.12, 1.22, 1.9, 2.05, 2.05, 3.38, 3.39, 3.45, 4.12]"
S4,CH3O,20,-766.807058,-3.7445,1968651.9,True,141,0.981,unknown,"[1.12, 1.12, 1.22, 1.91, 2.04, 2.05, 2.97, 3.12, 3.41, 4.53]"
S4,CH3O,272,-766.806038,-3.7435,1969671.8,True,113,0.981,unknown,"[1.12, 1.12, 1.22, 1.9, 2.05, 2.05, 3.38, 3.45, 3.5, 4.18]"
S4,CH3O,269,-766.805829,-3.7433,1969880.5,True,85,0.981,unknown,"[1.12, 1.12, 1.22, 1.9, 2.04, 2.05, 2.93, 3.18, 3.28, 4.22]"
S4,CH3O,55,-766.805716,-3.7432,1969993.1,True,119,0.981,unknown,"[1.12, 1.13, 1.22, 1.91, 2.04, 2.05, 3.14, 3.14, 3.34, 4.24]"
