sid,idx,E_MACE_D3_eV,E_bind_MACE_D3_eV,dE_rel_meV,converged,n_steps,d_min_ads_sub_A,d_reactive_A,distance_bin,fingerprint
S2,5424,-600.740877,-2.2747,924.6,True,118,1.9,2.903,reactive-close,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 2.9, 3.3, 3.6, 3.8, 3.9, 4.0, 4.2, 4.4, 4.9, 5.0]"
S2,8460,-600.740601,-2.2744,924.9,True,96,2.021,5.39,thermodynamic,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 4.0, 4.2, 5.1, 5.2, 5.4, 5.5, 5.6, 5.6, 5.8, 6.0]"
S2,9102,-600.740543,-2.2743,924.9,True,89,1.898,2.933,reactive-close,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 2.9, 3.3, 4.0, 4.2, 4.2, 4.2, 4.9, 4.9, 4.9, 5.0]"
S2,7011,-600.740473,-2.2743,925.0,True,86,2.015,3.569,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 3.4, 3.6, 3.9, 4.2, 4.4, 4.4, 4.4, 4.5, 5.2, 5.5]"
S2,8652,-600.740472,-2.2743,925.0,True,67,1.899,3.264,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 3.3, 3.5, 4.5, 4.5, 4.5, 4.7, 4.7, 4.8, 5.4, 5.5]"
S2,2338,-600.740396,-2.2742,925.1,True,92,2.023,5.348,thermodynamic,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 4.1, 4.3, 5.2, 5.2, 5.3, 5.6, 5.7, 5.8, 5.9, 5.9]"
S2,5809,-600.740249,-2.274,925.2,True,92,1.901,3.181,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 3.2, 3.4, 4.1, 4.2, 4.3, 4.4, 4.4, 4.5, 5.2, 5.3]"
S2,1355,-600.740102,-2.2739,925.4,True,83,2.013,3.587,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 3.4, 3.6, 3.9, 4.2, 4.4, 4.4, 4.5, 4.5, 5.2, 5.5]"
S2,7026,-600.739848,-2.2736,925.6,True,77,2.017,3.574,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 3.4, 3.6, 3.9, 4.1, 4.3, 4.3, 4.4, 4.4, 5.2, 5.4]"
S2,6423,-600.739741,-2.2735,925.7,True,129,2.017,3.452,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 3.4, 3.5, 3.8, 4.2, 4.4, 4.6, 4.8, 5.1, 5.3, 5.3]"
S2,4176,-600.739709,-2.2735,925.8,True,101,2.017,4.441,separated,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 3.3, 3.5, 3.7, 3.9, 4.0, 4.1, 4.4, 4.7, 4.9, 5.1]"
S2,9796,-600.739471,-2.2733,926.0,True,71,1.903,3.3,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 3.3, 3.7, 4.3, 4.4, 4.4, 4.6, 4.8, 5.0, 5.3, 5.5]"
S2,870,-600.739312,-2.2731,926.2,True,112,1.902,3.127,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 3.1, 3.4, 4.1, 4.2, 4.2, 4.4, 4.4, 4.4, 5.2, 5.3]"
S2,10109,-600.739241,-2.273,926.2,True,96,2.019,4.478,separated,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 3.4, 3.6, 3.7, 3.9, 4.0, 4.1, 4.5, 4.7, 5.0, 5.2]"
S2,10771,-600.738722,-2.2725,926.8,True,99,2.021,5.357,thermodynamic,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 4.1, 4.2, 5.2, 5.2, 5.4, 5.6, 5.7, 5.7, 5.8, 5.9]"
S2,4632,-600.73854,-2.2723,926.9,True,84,1.902,3.081,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 3.1, 3.3, 4.0, 4.1, 4.2, 4.2, 4.3, 4.4, 5.1, 5.2]"
S2,6438,-600.738518,-2.2723,927.0,True,78,1.903,3.188,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 3.2, 3.4, 4.2, 4.2, 4.2, 4.3, 4.3, 4.5, 5.2, 5.3]"
S2,8963,-600.738,-2.2718,927.5,True,88,1.902,2.948,reactive-close,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 2.9, 3.3, 4.0, 4.2, 4.2, 4.3, 4.9, 4.9, 5.0, 5.0]"
S2,4197,-600.737838,-2.2716,927.7,True,100,1.901,3.188,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 3.2, 3.4, 3.9, 4.1, 4.2, 4.3, 4.3, 4.3, 5.1, 5.2]"
S2,2390,-600.737831,-2.2716,927.7,True,113,1.901,2.867,reactive-close,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 2.9, 3.3, 3.8, 4.0, 4.1, 4.2, 4.7, 4.8, 4.9, 5.0]"
S2,6361,-600.737595,-2.2714,927.9,True,95,2.016,5.386,thermodynamic,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 4.1, 4.3, 5.2, 5.3, 5.4, 5.6, 5.7, 5.8, 5.8, 6.0]"
S2,2358,-600.737572,-2.2714,927.9,True,62,2.019,3.363,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 3.3, 3.4, 3.6, 4.1, 4.2, 4.4, 4.7, 4.8, 4.9, 5.3]"
S2,3704,-600.737087,-2.2709,928.4,True,101,1.9,3.073,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 3.1, 3.4, 4.1, 4.2, 4.3, 4.3, 4.5, 4.6, 5.1, 5.3]"
S2,2135,-600.736635,-2.2704,928.9,True,70,1.9,3.439,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 3.4, 3.5, 3.5, 3.7, 3.9, 4.1, 4.1, 4.5, 5.0, 5.0]"
S2,6310,-600.736204,-2.27,929.3,True,129,1.9,3.319,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 3.3, 3.6, 4.4, 4.4, 4.4, 4.5, 4.5, 4.6, 5.3, 5.5]"
S2,2153,-600.735489,-2.2693,930.0,True,89,1.904,3.042,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 3.0, 3.3, 4.0, 4.2, 4.2, 4.3, 4.5, 4.6, 5.1, 5.2]"
S2,4044,-600.735333,-2.2691,930.2,True,92,2.02,4.457,separated,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 3.3, 3.6, 3.7, 3.9, 4.0, 4.1, 4.5, 4.7, 4.9, 5.2]"
S2,8780,-600.735306,-2.2691,930.2,True,77,1.903,3.011,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 3.0, 3.3, 4.1, 4.3, 4.3, 4.3, 4.8, 4.9, 5.1, 5.2]"
S2,8840,-600.735233,-2.269,930.3,True,103,1.901,2.876,reactive-close,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 2.9, 3.3, 3.9, 4.0, 4.1, 4.2, 4.7, 4.8, 4.9, 5.0]"
S2,10418,-600.735202,-2.269,930.3,True,89,1.902,3.258,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 3.3, 3.6, 4.4, 4.4, 4.5, 4.5, 4.6, 4.6, 5.3, 5.5]"
S2,6360,-600.735178,-2.269,930.3,True,96,2.019,5.366,thermodynamic,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 4.2, 4.4, 5.2, 5.3, 5.4, 5.6, 5.8, 5.8, 5.9, 6.0]"
S2,4919,-600.735047,-2.2688,930.4,True,105,1.903,2.937,reactive-close,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 2.9, 3.2, 3.8, 4.0, 4.1, 4.2, 4.4, 4.4, 5.0, 5.0]"
S2,5427,-600.734882,-2.2687,930.6,True,88,1.902,3.185,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 3.2, 3.4, 4.1, 4.2, 4.2, 4.3, 4.3, 4.4, 5.2, 5.2]"
S2,2092,-600.734268,-2.2681,931.2,True,83,1.901,2.882,reactive-close,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 2.9, 3.1, 3.8, 4.1, 4.1, 4.2, 4.7, 4.7, 4.9, 4.9]"
S2,4911,-600.733896,-2.2677,931.6,True,77,1.903,3.122,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 3.1, 3.3, 4.1, 4.2, 4.2, 4.3, 4.3, 4.4, 5.2, 5.2]"
S2,910,-600.733667,-2.2675,931.8,True,91,2.015,5.368,thermodynamic,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 4.1, 4.3, 5.2, 5.2, 5.4, 5.6, 5.7, 5.8, 5.8, 6.0]"
S2,8312,-600.73354,-2.2673,931.9,True,85,2.021,5.407,thermodynamic,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 4.0, 4.2, 5.0, 5.1, 5.2, 5.3, 5.4, 5.6, 5.8, 6.0]"
S2,1610,-600.733319,-2.2671,932.2,True,73,1.906,3.762,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 3.2, 3.4, 3.8, 3.8, 4.0, 4.0, 4.1, 4.3, 4.8, 5.1]"
S2,7555,-600.733198,-2.267,932.3,True,112,1.9,2.887,reactive-close,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 2.9, 3.3, 3.9, 4.0, 4.1, 4.2, 4.7, 4.8, 4.9, 5.0]"
S2,7789,-600.732991,-2.2668,932.5,True,96,1.901,3.141,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 3.1, 3.4, 3.8, 4.1, 4.2, 4.2, 4.5, 4.6, 5.1, 5.1]"
S2,4503,-600.732934,-2.2667,932.6,True,77,1.902,3.168,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 3.2, 3.3, 4.1, 4.2, 4.2, 4.3, 4.3, 4.4, 5.2, 5.2]"
S2,1849,-600.732827,-2.2666,932.7,True,95,2.015,3.658,reactive-loose,"[1.1, 1.1, 1.1, 1.2, 1.4, 1.8, 1.8, 1.8, 2.0, 2.1, 2.1, 2.9, 3.5, 3.5, 3.6, 3.6, 3.7, 4.0, 4.2, 4.6, 5.1]"
